City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,khandyga,62.6667,135.6,13.17,69,83,2.13,RU,1686145328
83,ust'-ilimsk,58.0006,102.6619,17.26,79,100,1.58,RU,1686144735
84,calimanesti,45.2333,24.3333,20.85,44,86,2.58,RO,1686145328
85,babura,12.7731,9.0158,35.7,32,99,4.61,NG,1686145329
86,whitehorse,60.7161,-135.0538,5.57,80,40,5.14,CA,1686145245
87,muynoq,43.7683,59.0214,27.35,46,92,8.95,UZ,1686145329
88,rodolfo sanchez taboada,31.7167,-116.5667,16.17,73,3,0.89,MX,1686145329
89,chonchi,-42.6128,-73.8092,7.29,92,100,2.71,CL,1686145330
90,tuy hoa,13.0833,109.3,26.78,81,100,3.61,VN,1686145330
91,hadibu,12.65,54.0333,30.27,72,100,5.47,YE,1686144732
92,lompoc,34.6391,-120.4579,14.18,86,100,2.24,US,1686145331
93,as sanad,34.4628,9.264,27.14,38,76,0.68,TN,1686145331
94,northam,51.0333,-4.2167,22.92,72,7,6.02,GB,1686145043
95,mastic beach,40.7668,-72.8521,18.39,64,0,5.66,US,1686145332
96,port mathurin,-19.6833,63.4167,24.47,74,25,8.72,MU,1686145332
97,fisterra,42.9049,-9.2629,21.68,90,100,4.89,ES,1686145332
98,mar del plata,-38.0023,-57.5575,12.75,91,75,1.54,AR,1686145332
99,zalesovo,53.9939,84.7431,24.49,65,93,3.22,RU,1686145333
100,commerce,34.0006,-118.1598,16.25,85,100,0.0,US,1686145333
101,yeppoon,-23.1333,150.7333,16.88,81,1,4.33,AU,1686145333
102,margaret river,-33.95,115.0667,15.5,73,100,7.26,AU,1686145333
103,charters towers,-20.1,146.2667,15.82,89,42,4.67,AU,1686145333
104,colonia,50.9333,6.95,23.66,82,20,3.09,DE,1686145334
105,felixstowe,51.9637,1.3511,18.38,64,4,3.58,GB,1686145334
106,zaozersk,69.4005,32.4476,7.49,56,95,4.16,RU,1686145334
